protein,degree,strength,clustering,ego_nodes,ego_edges,local_density,complex_membership_count,protein_in_any_complex
A1BG,23,8.683000000002002,0.01170722244121914,24,31,0.11231884057971014,0,0
A1CF,11,5.155333333333001,0.01141482566692966,12,13,0.19696969696969696,0,0
A2M,109,47.64266666666828,0.01610568779162238,110,323,0.05387823185988323,1,1
A2ML1,28,3.9180000000003004,0.0037099303206785204,29,33,0.0812807881773399,0,0
A4GALT,6,1.3393333333333,0.0,7,6,0.2857142857142857,0,0
A4GNT,20,4.522333333332001,0.000719658300664166,21,21,0.1,0,0
AAAS,28,13.104333333335,0.10114519187480651,29,99,0.2438423645320197,0,0
AACS,6,3.262666666665,0.0407052331109173,7,7,0.3333333333333333,0,0
AADAT,2,0.847,0.0,3,2,0.6666666666666666,0,0
AAED1,2,0.0,0.0,3,2,0.6666666666666666,0,0
AAGAB,23,9.885666666666001,0.05661446963473316,24,50,0.18115942028985507,0,0
AAK1,34,15.5476666666647,0.12000770092938202,35,198,0.33277310924369746,0,0
AAMDC,6,3.783000000002,0.15953045513526026,7,10,0.47619047619047616,0,0
AAMP,35,11.280333333334,0.022329241716080528,36,70,0.1111111111111111,0,0
AANAT,7,2.5989999999999998,0.0,8,7,0.25,0,0
AAR2,612,0.0,0.0,613,12780,0.06813165723059207,0,0
AARS,64,22.0520000000037,0.06816455767120809,65,468,0.225,0,0
AARS2,38,13.139666666665303,0.039623463623071786,39,112,0.15114709851551958,0,0
AARSD1,88,36.17766666666328,0.030204470623227148,89,332,0.08478038815117467,0,0
AASDH,5,0.8203333333339999,0.0,6,5,0.3333333333333333,0,0
AASDHPPT,37,16.912000000001004,0.041821208616438926,38,99,0.14082503556187767,0,0
AASS,10,3.069,0.07281233931937083,11,22,0.4,0,0
AATF,79,41.1393333333353,0.0775105612219887,80,544,0.17215189873417722,1,1
AATK,53,9.551666666666002,0.0063148592247633415,54,84,0.05870020964360587,0,0
ABAT,33,12.8456666666677,0.04413171578903486,34,87,0.15508021390374332,0,0
ABCA1,24,10.484333333333002,0.029647154651172944,25,41,0.13666666666666666,0,0
ABCA10,2,0.0,0.0,3,3,1.0,0,0
ABCA13,6,1.0463333333327,0.029660499381059524,7,8,0.38095238095238093,0,0
ABCA2,21,7.323333333336,0.02478626116612684,22,34,0.1471861471861472,0,0
ABCA3,25,7.460333333333299,0.002669136164718271,26,28,0.08615384615384615,0,0
ABCA4,1,0.383333333333,0.0,2,1,1.0,0,0
ABCA5,2,0.664333333334,0.0,3,2,0.6666666666666666,0,0
ABCA6,1,0.124333333333,0.0,2,1,1.0,0,0
ABCA7,7,2.16,0.03562446935467022,8,9,0.32142857142857145,0,0
ABCA9,1,0.0,0.0,2,1,1.0,0,0
ABCB1,16,5.843,0.02979170834651146,17,25,0.18382352941176472,2,1
ABCB10,26,5.295333333333,0.005346574644358176,27,32,0.09116809116809117,0,0
ABCB11,3,0.645,0.0,4,3,0.5,0,0
ABCB4,2,0.808666666667,0.0,3,2,0.6666666666666666,0,0
ABCB5,9,2.8046666666670004,0.24930799625218464,10,32,0.7111111111111111,0,0
ABCB6,20,6.064000000002,0.007181494723636107,21,25,0.11904761904761904,0,0
ABCB7,45,15.060000000005,0.03565127929160987,46,164,0.15845410628019324,0,0
ABCB8,27,4.2299999999993,0.0034419637450913637,28,33,0.0873015873015873,0,0
ABCB9,10,2.3669999999999,0.0,11,10,0.18181818181818182,0,0
ABCC1,61,15.998333333333598,0.026676385253792227,62,246,0.13008989952406133,0,0
ABCC10,9,2.334333333334,0.0,10,9,0.2,0,0
ABCC11,1,0.396666666667,0.0,2,1,1.0,0,0
ABCC12,1,0.0,0.0,2,1,1.0,0,0
ABCC13,1,0.0,0.0,2,1,1.0,0,0
