protein,degree,strength,clustering,ego_nodes,ego_edges,local_density,complex_membership_count,protein_in_any_complex,local_nodes_used,local_edges_used,local_correlation_distance_ph_dim0_count,local_correlation_distance_ph_dim0_finite_count,local_correlation_distance_ph_dim0_mean_lifetime,local_correlation_distance_ph_dim0_max_lifetime,local_correlation_distance_ph_dim0_total_persistence,local_correlation_distance_ph_dim1_count,local_correlation_distance_ph_dim1_finite_count,local_correlation_distance_ph_dim1_mean_lifetime,local_correlation_distance_ph_dim1_max_lifetime,local_correlation_distance_ph_dim1_total_persistence,local_correlation_distance_ph_dim2_count,local_correlation_distance_ph_dim2_finite_count,local_correlation_distance_ph_dim2_mean_lifetime,local_correlation_distance_ph_dim2_max_lifetime,local_correlation_distance_ph_dim2_total_persistence,local_correlation_distance_ph_dim1_landscape_l1,local_correlation_distance_ph_dim1_landscape_max,local_hop_distance_ph_dim0_count,local_hop_distance_ph_dim0_finite_count,local_hop_distance_ph_dim0_mean_lifetime,local_hop_distance_ph_dim0_max_lifetime,local_hop_distance_ph_dim0_total_persistence,local_hop_distance_ph_dim1_count,local_hop_distance_ph_dim1_finite_count,local_hop_distance_ph_dim1_mean_lifetime,local_hop_distance_ph_dim1_max_lifetime,local_hop_distance_ph_dim1_total_persistence,local_hop_distance_ph_dim2_count,local_hop_distance_ph_dim2_finite_count,local_hop_distance_ph_dim2_mean_lifetime,local_hop_distance_ph_dim2_max_lifetime,local_hop_distance_ph_dim2_total_persistence,local_hop_distance_ph_dim1_landscape_l1,local_hop_distance_ph_dim1_landscape_max,local_weighted_shortest_path_ph_dim0_count,local_weighted_shortest_path_ph_dim0_finite_count,local_weighted_shortest_path_ph_dim0_mean_lifetime,local_weighted_shortest_path_ph_dim0_max_lifetime,local_weighted_shortest_path_ph_dim0_total_persistence,local_weighted_shortest_path_ph_dim1_count,local_weighted_shortest_path_ph_dim1_finite_count,local_weighted_shortest_path_ph_dim1_mean_lifetime,local_weighted_shortest_path_ph_dim1_max_lifetime,local_weighted_shortest_path_ph_dim1_total_persistence,local_weighted_shortest_path_ph_dim2_count,local_weighted_shortest_path_ph_dim2_finite_count,local_weighted_shortest_path_ph_dim2_mean_lifetime,local_weighted_shortest_path_ph_dim2_max_lifetime,local_weighted_shortest_path_ph_dim2_total_persistence,local_weighted_shortest_path_ph_dim1_landscape_l1,local_weighted_shortest_path_ph_dim1_landscape_max
ABHD17A,18,8.078666666667,0.01966453151253064,19,24,0.14035087719298245,0,0,19,24,19.0,18.0,0.5035740782817205,0.6916666626930237,9.064333409070969,2.0,2.0,0.016166627407073975,0.019333302974700928,0.03233325481414795,0.0,0.0,0.0,0.0,0.0,1.002445806234369,0.013535356075391169,19.0,18.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.0,0.5035740782817205,0.6916666626930237,9.064333409070969,2.0,2.0,0.016166627407073975,0.019333302974700928,0.03233325481414795,0.0,0.0,0.0,0.0,0.0,1.002445806234369,0.013535356075391169
ACD,70,31.88899999999831,0.05603127583398457,71,339,0.13641851106639838,4,1,30,134,30.0,29.0,0.37545977019030474,0.5193333625793457,10.888333335518837,12.0,12.0,0.02480555574099223,0.12000000476837158,0.29766666889190674,1.0,1.0,0.009333372116088867,0.009333372116088867,0.009333372116088867,2.2025932157071715,0.08350391932911279,30.0,29.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,0.37545977019030474,0.5193333625793457,10.888333335518837,12.0,12.0,0.02480555574099223,0.12000000476837158,0.29766666889190674,1.0,1.0,0.009333372116088867,0.009333372116088867,0.009333372116088867,2.2025932157071715,0.08350391932911279
ACTG1,158,76.29433333333532,0.05572243170728054,159,1586,0.12626383249741263,4,1,30,81,30.0,29.0,0.34358620540849094,0.40066665410995483,9.963999956846237,6.0,6.0,0.016111115614573162,0.030000001192092896,0.09666669368743896,0.0,0.0,0.0,0.0,0.0,1.823108762912259,0.020919157192099993,30.0,29.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,0.34358620540849094,0.40066665410995483,9.963999956846237,6.0,6.0,0.016111115614573162,0.030000001192092896,0.09666669368743896,0.0,0.0,0.0,0.0,0.0,1.823108762912259,0.020919157192099993
ADAM28,2,0.6659999999999999,0.0,3,2,0.6666666666666666,0,0,3,2,3.0,2.0,0.6669999957084656,0.6823333501815796,1.3339999914169312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.6669999957084656,0.6823333501815796,1.3339999914169312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB1,8,4.127666666666,0.042164953529040754,9,10,0.2777777777777778,3,1,9,10,9.0,8.0,0.43770833872258663,0.5659999847412109,3.501666709780693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.43770833872258663,0.5659999847412109,3.501666709780693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APH1A,20,12.842666666668002,0.09397114243185353,21,46,0.21904761904761905,7,1,21,46,21.0,20.0,0.34160000290721654,0.6650000214576721,6.832000058144331,2.0,2.0,0.00933334231376648,0.013333350419998169,0.01866668462753296,0.0,0.0,0.0,0.0,0.0,0.11673591151089974,0.009152740653422154,21.0,20.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,20.0,0.34160000290721654,0.6650000214576721,6.832000058144331,2.0,2.0,0.00933334231376648,0.013333350419998169,0.01866668462753296,0.0,0.0,0.0,0.0,0.0,0.11673591151089974,0.009152740653422154
ARHGEF7,44,19.527333333334003,0.06810863078689801,45,183,0.18484848484848485,4,1,30,116,30.0,29.0,0.36425287559114655,0.5130000114440918,10.56333339214325,12.0,12.0,0.045055560767650604,0.11233332753181458,0.5406667292118073,1.0,1.0,0.0043333470821380615,0.0043333470821380615,0.0043333470821380615,8.001737850978508,0.07881790209817076,30.0,29.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,0.36425287559114655,0.5130000114440918,10.56333339214325,12.0,12.0,0.045055560767650604,0.11233332753181458,0.5406667292118073,1.0,1.0,0.0043333470821380615,0.0043333470821380615,0.0043333470821380615,8.001737850978508,0.07881790209817076
ARID4B,42,18.873999999998997,0.0898827391273466,43,232,0.25692137320044295,9,1,30,133,30.0,29.0,0.29642528860733425,0.5163333415985107,8.596333369612694,11.0,11.0,0.04609090631658381,0.07533332705497742,0.5069999694824219,2.0,2.0,0.003999993205070496,0.006999999284744263,0.007999986410140991,3.976142485942103,0.05172380220212469,30.0,29.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,0.29642528860733425,0.5163333415985107,8.596333369612694,11.0,11.0,0.043727270581505516,0.07533332705497742,0.48099997639656067,3.0,3.0,0.0029999911785125732,0.006999999284744263,0.00899997353553772,3.523655070395624,0.05172380220212469
ARRDC3,51,21.495666666665002,0.028457284112338936,52,125,0.0942684766214178,0,0,30,66,30.0,29.0,0.4126666655828213,0.5706666707992554,11.967333301901817,9.0,9.0,0.06248148282368978,0.1236666738986969,0.562333345413208,0.0,0.0,0.0,0.0,0.0,7.6188307047779675,0.08705582370529635,30.0,29.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,0.4126666655828213,0.5706666707992554,11.967333301901817,9.0,9.0,0.05751852525605096,0.1236666738986969,0.5176667273044586,0.0,0.0,0.0,0.0,0.0,6.848538308470715,0.08705582370529635
ATG16L1,698,300.7809999999969,0.012244146574093725,699,7305,0.02994453804247574,1,1,30,51,30.0,29.0,0.30191953994076826,0.40700000524520874,8.75566665828228,1.0,1.0,0.009666666388511658,0.009666666388511658,0.009666666388511658,0.0,0.0,0.0,0.0,0.0,0.3451521119742756,0.006767688470083822,30.0,29.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,29.0,0.30191953994076826,0.40700000524520874,8.75566665828228,1.0,1.0,0.009666666388511658,0.009666666388511658,0.009666666388511658,0.0,0.0,0.0,0.0,0.0,0.3451521119742756,0.006767688470083822
