protein,degree,strength,clustering,ego_nodes,ego_edges,local_density,complex_membership_count,protein_in_any_complex,protocol,max_nodes,filtration,local_nodes_used,local_edges_used,local_ph_dim0_count,local_ph_dim0_finite_count,local_ph_dim0_mean_lifetime,local_ph_dim0_max_lifetime,local_ph_dim0_total_persistence,local_ph_dim1_count,local_ph_dim1_finite_count,local_ph_dim1_mean_lifetime,local_ph_dim1_max_lifetime,local_ph_dim1_total_persistence,local_ph_dim2_count,local_ph_dim2_finite_count,local_ph_dim2_mean_lifetime,local_ph_dim2_max_lifetime,local_ph_dim2_total_persistence,local_ph_dim1_landscape_l1,local_ph_dim1_landscape_max
ABHD17A,18,8.078666666667,0.019664531512530635,19,24,0.14035087719298245,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,11,10.0,9.0,0.44885185692045426,0.5600000023841858,4.039666712284088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACD,70,31.88899999999831,0.05603127583398458,71,339,0.13641851106639838,4,1,top_weighted_neighbors,10,weighted_shortest_path,10,36,10.0,9.0,0.26103703677654266,0.38866665959358215,2.349333330988884,1.0,1.0,0.00033333897590637207,0.00033333897590637207,0.00033333897590637207,0.0,0.0,0.0,0.0,0.0,0.011901998777381996,0.00023337252504670043
ACTG1,158,76.29433333333532,0.05572243170728046,159,1586,0.12626383249741263,4,1,top_weighted_neighbors,10,weighted_shortest_path,10,13,10.0,9.0,0.33759259184201557,0.35366666316986084,3.0383333265781403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM28,2,0.6659999999999999,0.0,3,2,0.6666666666666666,0,0,top_weighted_neighbors,10,weighted_shortest_path,3,2,3.0,2.0,0.6669999957084656,0.6823333501815796,1.3339999914169312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB1,8,4.127666666666,0.04216495352904075,9,10,0.2777777777777778,3,1,top_weighted_neighbors,10,weighted_shortest_path,9,10,9.0,8.0,0.43770833872258663,0.5659999847412109,3.501666709780693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APH1A,20,12.842666666668002,0.09397114243185353,21,46,0.21904761904761905,7,1,top_weighted_neighbors,10,weighted_shortest_path,10,23,10.0,9.0,0.2394814867940214,0.3723333477973938,2.1553333811461926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGEF7,44,19.527333333334003,0.06810863078689801,45,183,0.18484848484848485,4,1,top_weighted_neighbors,10,weighted_shortest_path,10,23,10.0,9.0,0.3091111100382275,0.4339999854564667,2.7819999903440475,1.0,1.0,0.04366666078567505,0.04366666078567505,0.04366666078567505,0.0,0.0,0.0,0.0,0.0,1.5591352372470297,0.03057127916170649
ARID4B,42,18.873999999998997,0.08988273912734662,43,232,0.25692137320044295,9,1,top_weighted_neighbors,10,weighted_shortest_path,10,16,10.0,9.0,0.28744444499413174,0.42633333802223206,2.5870000049471855,2.0,2.0,0.040499985218048096,0.04666665196418762,0.08099997043609619,0.0,0.0,0.0,0.0,0.0,2.568224810619063,0.032671590157573885
ARRDC3,51,21.495666666665002,0.028457284112338947,52,125,0.0942684766214178,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,12,10.0,9.0,0.38881481687227887,0.48766666650772095,3.4993333518505096,1.0,1.0,0.023333340883255005,0.023333340883255005,0.023333340883255005,0.0,0.0,0.0,0.0,0.0,0.8331260810699337,0.01633580551117518
ATG16L1,698,300.7809999999969,0.01224414657409371,699,7305,0.02994453804247574,1,1,top_weighted_neighbors,10,weighted_shortest_path,10,24,10.0,9.0,0.1801851855383979,0.32600000500679016,1.621666669845581,1.0,1.0,0.009666666388511658,0.009666666388511658,0.009666666388511658,0.0,0.0,0.0,0.0,0.0,0.3451521119742756,0.006767688470083822
ATP7B,19,6.129999999999,0.004871287013927917,20,22,0.11578947368421053,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,11,10.0,9.0,0.5259259243806204,0.637333333492279,4.733333319425583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDH1,28,6.8736666666647,0.016567484774035652,29,47,0.11576354679802955,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,15,10.0,9.0,0.47677778204282123,0.6793333292007446,4.291000038385391,2.0,2.0,0.039333343505859375,0.04533332586288452,0.07866668701171875,0.0,0.0,0.0,0.0,0.0,2.4938525985794886,0.031738120922163555
BTF3L4,27,7.1749999999927,0.04111167359418935,28,75,0.1984126984126984,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,19,10.0,9.0,0.5281111233764224,0.6666666865348816,4.753000110387802,1.0,1.0,0.08433336019515991,0.08433336019515991,0.08433336019515991,0.0,0.0,0.0,0.0,0.0,3.0111556778084227,0.059042268192322056
C10orf55,3,0.0,0.0,4,3,0.5,0,0,top_weighted_neighbors,10,weighted_shortest_path,4,3,4.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16orf62,19,0.0,0.0,20,90,0.47368421052631576,6,1,top_weighted_neighbors,10,weighted_shortest_path,10,26,10.0,9.0,0.49611110985279083,1.0,4.4649999886751175,2.0,2.0,0.26116667687892914,0.3036666810512543,0.5223333537578583,0.0,0.0,0.0,0.0,0.0,16.464666912430353,0.2125987815759945
C17orf80,26,7.6109999999980005,0.017240622122259006,27,46,0.13105413105413105,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,11,10.0,9.0,0.49929629431830513,0.668666660785675,4.493666648864746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3AR1,92,20.98533333333269,0.006193329235336076,93,194,0.045348293595137916,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,12,10.0,9.0,0.5541111164622836,0.6610000133514404,4.987000048160553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,9,4.602,0.0,10,9,0.2,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,9,10.0,9.0,0.48866666356722516,0.6449999809265137,4.397999972105026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALR,145,67.854666666673,0.043533496877460116,146,1143,0.10798299480396788,3,1,top_weighted_neighbors,10,weighted_shortest_path,10,16,10.0,9.0,0.33185184995333356,0.36800000071525574,2.986666649580002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARD14,9,4.275333333332,0.018821615993572637,10,10,0.2222222222222222,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,10,10.0,9.0,0.5081111159589555,0.7826666831970215,4.5730000436306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL18,6,2.193,0.030323467189866553,7,7,0.3333333333333333,0,0,top_weighted_neighbors,10,weighted_shortest_path,7,7,7.0,6.0,0.6169444421927134,1.0,3.7016666531562805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL8,2,0.367,0.0,3,2,0.6666666666666666,0,0,top_weighted_neighbors,10,weighted_shortest_path,3,2,3.0,2.0,0.8165000081062317,0.8833333253860474,1.6330000162124634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCT2,304,133.76633333333427,0.0504577927190881,305,5224,0.11268334771354616,2,1,top_weighted_neighbors,10,weighted_shortest_path,10,40,10.0,9.0,0.10081492589391575,0.3186666667461395,0.9073343330452417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD2BP2,147,85.48299999999604,0.08963621492570764,148,1764,0.16216216216216217,1,1,top_weighted_neighbors,10,weighted_shortest_path,10,22,10.0,9.0,0.05311111133131716,0.09200000017881393,0.47800000198185444,1.0,1.0,0.005666669458150864,0.005666669458150864,0.005666669458150864,0.0,0.0,0.0,0.0,0.0,0.20233065389174248,0.003967267723367494
CDKN1B,93,52.19866666666702,0.08371218773185891,94,735,0.16815374056280027,2,1,top_weighted_neighbors,10,weighted_shortest_path,10,19,10.0,9.0,0.2215185198518965,0.320333331823349,1.9936666786670685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDKN2B,55,28.463333333333004,0.19337293236741807,56,587,0.38116883116883116,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,29,10.0,9.0,0.24214814520544475,0.3199999928474426,2.179333306849003,1.0,1.0,0.02266666293144226,0.02266666293144226,0.02266666293144226,0.0,0.0,0.0,0.0,0.0,0.8093220835151695,0.015869060461081778
CES3,6,1.3696666666673,0.0,7,6,0.2857142857142857,0,0,top_weighted_neighbors,10,weighted_shortest_path,7,6,7.0,6.0,0.7717222273349762,0.9396666884422302,4.630333364009857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHD8,71,35.594333333335996,0.06838450478372589,72,400,0.1564945226917058,1,1,top_weighted_neighbors,10,weighted_shortest_path,10,20,10.0,9.0,0.27540740701887345,0.3333333432674408,2.478666663169861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHKB,1,0.278666666667,0.0,2,1,1.0,0,0,top_weighted_neighbors,10,weighted_shortest_path,2,1,2.0,1.0,0.7213333249092102,0.7213333249092102,0.7213333249092102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNOT11,46,21.741999999998992,0.1229093787345415,47,321,0.2969472710453284,5,1,top_weighted_neighbors,10,weighted_shortest_path,10,31,10.0,9.0,0.18385185135735405,0.304666668176651,1.6546666622161865,6.0,6.0,0.03572222590446472,0.08066666126251221,0.21433335542678833,0.0,0.0,0.0,0.0,0.0,3.4617191867415893,0.0561951446688242
CNTNAP2,8,3.8163333333349994,0.0,9,8,0.2222222222222222,0,0,top_weighted_neighbors,10,weighted_shortest_path,9,8,9.0,8.0,0.5229583270847797,0.8323333263397217,4.183666616678238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG2,27,13.656333333331997,0.1285397530568427,28,98,0.25925925925925924,3,1,top_weighted_neighbors,10,weighted_shortest_path,10,42,10.0,9.0,0.10074074100703001,0.34466665983200073,0.9066666690632701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRTAC1,19,7.472000000001301,0.00686327549586515,20,21,0.11052631578947368,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,10,10.0,9.0,0.43925926751560634,0.612333357334137,3.953333407640457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT47A1,1,0.0,0.0,2,1,1.0,0,0,top_weighted_neighbors,10,weighted_shortest_path,2,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTTNBP2,29,0.0,0.0,30,212,0.48735632183908045,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,45,10.0,9.0,0.41203703814082676,1.0,3.708333343267441,1.0,1.0,0.022666633129119873,0.022666633129119873,0.022666633129119873,0.0,0.0,0.0,0.0,0.0,0.809321019411569,0.015869039596305305
CUBN,8,3.5756666666670003,0.02245425393682114,9,10,0.2777777777777778,2,1,top_weighted_neighbors,10,weighted_shortest_path,9,10,9.0,8.0,0.5474583320319653,1.0,4.379666656255722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYR61,11,0.0,0.0,12,17,0.25757575757575757,2,1,top_weighted_neighbors,10,weighted_shortest_path,10,12,10.0,9.0,0.7720370375447803,1.0,6.948333337903023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX3X,268,132.5569999999984,0.049164204186878384,269,3878,0.10758475281584642,3,1,top_weighted_neighbors,10,weighted_shortest_path,10,12,10.0,9.0,0.21188888822992644,0.31166666746139526,1.9069999940693378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DDX50,55,22.914666666664,0.1319727528723974,56,473,0.30714285714285716,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,33,10.0,9.0,0.3121851831674576,0.4273333251476288,2.8096666485071182,1.0,1.0,0.008333325386047363,0.008333325386047363,0.008333325386047363,0.0,0.0,0.0,0.0,0.0,0.2975446489165476,0.005834208802285257
DIABLO,50,29.349000000002004,0.04142698040555889,51,133,0.10431372549019607,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,23,10.0,9.0,0.24081481330924565,0.3019999861717224,2.1673333197832108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMRTC1,1,0.0713333333333,0.0,2,1,1.0,0,0,top_weighted_neighbors,10,weighted_shortest_path,2,1,2.0,1.0,0.9286666512489319,0.9286666512489319,0.9286666512489319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJB1,110,55.84500000000099,0.0613879415175429,111,886,0.14512694512694513,1,1,top_weighted_neighbors,10,weighted_shortest_path,10,15,10.0,9.0,0.20677777586711776,0.3023333251476288,1.86099998280406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DPY30,76,41.024333333335996,0.061497207508313,77,413,0.14114832535885166,11,1,top_weighted_neighbors,10,weighted_shortest_path,10,26,10.0,9.0,0.160370372235775,0.2840000092983246,1.443333350121975,1.0,1.0,0.01066666841506958,0.01066666841506958,0.01066666841506958,0.0,0.0,0.0,0.0,0.0,0.38085757625462124,0.007467795612835725
EDEM1,34,16.007666666668,0.03440442633118907,35,69,0.11596638655462185,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,15,10.0,9.0,0.2622592631313536,0.4000000059604645,2.3603333681821823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELK1,28,14.310333333333997,0.06853967017214377,29,76,0.18719211822660098,3,1,top_weighted_neighbors,10,weighted_shortest_path,10,15,10.0,9.0,0.321222217546569,0.4646666646003723,2.890999957919121,2.0,2.0,0.051666662096977234,0.06533333659172058,0.10333332419395447,0.0,0.0,0.0,0.0,0.0,3.1218643400222423,0.0457402429124246
ELL,36,20.837666666667996,0.10986738878441982,37,149,0.22372372372372373,1,1,top_weighted_neighbors,10,weighted_shortest_path,10,30,10.0,9.0,0.09929629746410581,0.19200000166893005,0.8936666771769524,2.0,2.0,0.0020000115036964417,0.002333343029022217,0.004000023007392883,0.0,0.0,0.0,0.0,0.0,0.011509857613460565,0.0015262433776440547
EP300,536,287.05099999999743,0.02850922047068647,537,7928,0.05508769004141305,22,1,top_weighted_neighbors,10,weighted_shortest_path,10,13,10.0,9.0,0.1314815938619505,0.24033333361148834,1.1833343447575544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXOC2,52,22.458999999998003,0.05948096776328556,53,234,0.16981132075471697,1,1,top_weighted_neighbors,10,weighted_shortest_path,10,26,10.0,9.0,0.2042592598332299,0.3973333239555359,1.8383333384990692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXOSC3,39,22.155333333333996,0.18227943925855652,40,271,0.3474358974358974,3,1,top_weighted_neighbors,10,weighted_shortest_path,10,42,10.0,9.0,0.11881481524970797,0.1576666682958603,1.0693333372473717,1.0,1.0,0.003999993205070496,0.003999993205070496,0.003999993205070496,0.0,0.0,0.0,0.0,0.0,0.14282132506958264,0.0028004181386192587
F2RL3,2,0.335666666667,0.0,3,2,0.6666666666666666,0,0,top_weighted_neighbors,10,weighted_shortest_path,3,2,3.0,2.0,0.8321666717529297,1.0,1.6643333435058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM168A,35,10.788999999989,0.04490651611135801,36,117,0.18571428571428572,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,16,10.0,9.0,0.5884814825322893,0.6666666865348816,5.296333342790604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM21A,40,0.0,0.0,41,157,0.19146341463414634,1,1,top_weighted_neighbors,10,weighted_shortest_path,10,17,10.0,9.0,0.9597037037213644,1.0,8.637333333492279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAU,78,39.950333333326014,0.2635602101280367,79,1526,0.4952937358000649,3,1,top_weighted_neighbors,10,weighted_shortest_path,10,38,10.0,9.0,0.2426296282145712,0.32466667890548706,2.183666653931141,3.0,3.0,0.008555561304092407,0.012333333492279053,0.02566668391227722,0.0,0.0,0.0,0.0,0.0,0.12395141108100306,0.008629967836314189
FLNA,301,150.049666666663,0.04414199152337427,302,4422,0.09729158874392202,1,1,top_weighted_neighbors,10,weighted_shortest_path,10,9,10.0,9.0,0.2788148158126407,0.3283333480358124,2.5093333423137665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXD2,3,0.5966666666673,0.0,4,3,0.5,0,0,top_weighted_neighbors,10,weighted_shortest_path,4,3,4.0,3.0,0.801111121972402,0.9596666693687439,2.403333365917206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXM1,77,46.00466666666801,0.055130106355414286,78,331,0.11022311022311022,1,1,top_weighted_neighbors,10,weighted_shortest_path,10,15,10.0,9.0,0.09063007257954167,0.22333332896232605,0.8156706532158751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRK,10,5.159333333333,0.13158136886074762,11,21,0.38181818181818183,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,18,10.0,9.0,0.4297036959065331,0.5189999938011169,3.867333263158798,1.0,1.0,0.0016666650772094727,0.0016666650772094727,0.0016666650772094727,0.0,0.0,0.0,0.0,0.0,0.05950892978330932,0.0011668417604570672
GOLGA8F,18,0.0,0.0,19,24,0.14035087719298245,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,13,10.0,9.0,0.810481482081943,1.0,7.294333338737488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPD1,9,3.030333333334,0.057325515344581114,10,14,0.3111111111111111,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,14,10.0,9.0,0.6027407381269667,0.8256666660308838,5.4246666431427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR17,1,0.0,0.0,2,1,1.0,0,0,top_weighted_neighbors,10,weighted_shortest_path,2,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSPT1,48,28.952333333334,0.1238772142216918,49,286,0.24319727891156462,2,1,top_weighted_neighbors,10,weighted_shortest_path,10,24,10.0,9.0,0.12288888668020566,0.2879999876022339,1.105999980121851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GSTZ1,9,3.813999999999,0.10658793571107399,10,17,0.37777777777777777,0,0,top_weighted_neighbors,10,weighted_shortest_path,10,17,10.0,9.0,0.5224074025948843,0.9150000214576721,4.701666623353958,2.0,2.0,0.04399999976158142,0.050000011920928955,0.08799999952316284,0.0,0.0,0.0,0.0,0.0,1.4174246289410308,0.034771922018217674
GTF2A2,8,5.007666666666,0.24730503151516786,9,19,0.5277777777777778,4,1,top_weighted_neighbors,10,weighted_shortest_path,9,19,9.0,8.0,0.3096249960362911,0.5823333263397217,2.476999968290329,1.0,1.0,0.002666682004928589,0.002666682004928589,0.002666682004928589,0.0,0.0,0.0,0.0,0.0,0.09521492611545601,0.0018669593355972076
